codigo,bairro,categoria_principal,categoria_secundaria,qtde,ano,mês
E01032740,Cidade de Londres,Roubo e Manuseio,Outros Roubos,2,2016,12
E01000001,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2016,1
E01032739,Cidade de Londres,Roubo e Manuseio,Outros Roubos,2,2015,12
E01000005,Cidade de Londres,Roubo e Manuseio,Outros Roubos,1,2012,3
E01000003,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2012,9
E01000005,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2010,9
E01032740,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2011,2
E01000002,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2014,12
E01032739,Cidade de Londres,Roubo e Manuseio,Outros Roubos,1,2012,5
E01000001,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2012,11
E01000001,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2008,5
E01032739,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2010,7
E01032739,Cidade de Londres,Roubo e Manuseio,Outros Roubos,4,2012,2
E01000002,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2014,11
E01000003,Cidade de Londres,Roubo e Manuseio,Outros Roubos,1,2015,3
E01000003,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2013,7
E01000002,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2011,5
E01000005,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2009,5
E01000005,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2008,12
E01000002,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2015,2
E01000001,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2013,10
E01032740,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2010,11
E01000001,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2016,7
E01000002,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2010,3
E01000003,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2014,7
E01032740,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2016,11
E01000005,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2011,4
E01032739,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2009,5
E01000001,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2008,8
E01032740,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2008,2
E01000003,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2015,4
E01000002,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2008,5
E01000005,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2016,4
E01000005,Cidade de Londres,Roubo e Manuseio,Outros Roubos,2,2012,11
E01000002,Cidade de Londres,Roubo e Manuseio,Outros Roubos,1,2016,11
E01000005,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2016,3
E01000002,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2015,10
E01000005,Cidade de Londres,Roubo e Manuseio,Outros Roubos,1,2012,9
E01000003,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2011,1
E01000003,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2013,3
E01000003,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2016,11
E01000002,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2016,5
E01000001,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2008,7
E01000005,Cidade de Londres,Roubo e Manuseio,Outros Roubos,0,2013,4
E01032739,Cidade de Londres,Violência contra a pessoa,Ferida / GBH,0,2008,12
E01032739,Cidade de Londres,Violência contra a pessoa,Ferida / GBH,0,2009,11
E01000001,Cidade de Londres,Violência contra a pessoa,Ferida / GBH,0,2013,6
E01000001,Cidade de Londres,Violência contra a pessoa,Ferida / GBH,0,2011,11
E01000005,Cidade de Londres,Violência contra a pessoa,Ferida / GBH,0,2008,10
E01000001,Cidade de Londres,Violência contra a pessoa,Ferida / GBH,0,2011,7
E01032739,Cidade de Londres,Violência contra a pessoa,Ferida / GBH,0,2014,9
E01032740,Cidade de Londres,Violência contra a pessoa,Ferida / GBH,0,2014,11
E01000003,Cidade de Londres,Violência contra a pessoa,Ferida / GBH,1,2016,7
E01000005,Cidade de Londres,Violência contra a pessoa,Ferida / GBH,0,2010,10
